Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date,Scorecard
Kings XI,124,18.5,6.58,1,v RR,Jaipur,lost,14 Apr 2013,Twenty20
Kochi,125/9,20.0,6.25,1,v RCB,Bengaluru,lost,8 May 2011,Twenty20
MI,125/8,20.0,6.25,2,v Chargers,Wankhede,lost,14 May 2011,Twenty20
Warriors,125/6,20.0,6.25,1,v RR,Pune,lost,8 May 2012,Twenty20
Warriors,125/9,20.0,6.25,2,v RR,Jaipur,lost,13 May 2012,Twenty20
CSK,125/9,20.0,6.25,2,v MI,Eden Gardens,lost,26 May 2013,Twenty20
MI,125/6,20.0,6.25,1,v Daredevils,Sharjah,lost,27 Apr 2014,Twenty20
RR,125/9,20.0,6.25,1,v SRH,Hyderabad,lost,9 Apr 2018,Twenty20
CSK,125/5,20.0,6.25,1,v RR,Abu Dhabi,lost,19 Oct 2020,Twenty20
Punjab Kings,125/7,20.0,6.25,1,v SRH,Sharjah,won,25 Sep 2021,Twenty20
GT,125/6,20.0,6.25,2,v DC,Ahmedabad,lost,2 May 2023,Twenty20
MI,125/9,20.0,6.25,1,v RR,Wankhede,lost,1 Apr 2024,Twenty20
SRH,125,19.2,6.46,2,v RCB,Wankhede,lost,8 May 2022,Twenty20
KKR,125,19.0,6.57,2,v RR,Jaipur,lost,8 Apr 2013,Twenty20
RCB,126/8,20.0,6.3,1,v CSK,Chennai,won,21 May 2008,Twenty20
MI,126/8,20.0,6.3,2,v Chargers,Centurion,lost,6 May 2009,Twenty20
KKR,126/9,20.0,6.3,2,v Kochi,Eden Gardens,lost,20 Apr 2011,Twenty20
Chargers,126/7,20.0,6.3,1,v KKR,Cuttack,lost,22 Apr 2012,Twenty20
RR,126/6,20.0,6.3,1,v CSK,Jaipur,lost,10 May 2012,Twenty20
RR,126/8,20.0,6.3,1,v Chargers,Hyderabad,lost,18 May 2012,Twenty20
SRH,126/6,20.0,6.3,1,v Warriors,Hyderabad,won,5 Apr 2013,Twenty20
Guj Lions,126/6,20.0,6.3,1,v SRH,Hyderabad,lost,6 May 2016,Twenty20
Kings XI,126/7,20.0,6.3,1,v SRH,Dubai (DICS),won,24 Oct 2020,Twenty20
RCB,126/9,20.0,6.3,1,v LSG,Lucknow,won,1 May 2023,Twenty20
RR,126,19.3,6.46,2,v CSK,Centurion,lost,30 Apr 2009,Twenty20
RCB,126,19.2,6.51,1,v Kings XI,Bengaluru,lost,5 May 2008,Twenty20
Daredevils,126,19.1,6.57,2,v MI,Visakhapatnam,lost,15 May 2016,Twenty20
CSK,126,18.0,7.0,2,v Punjab Kings,Brabourne,lost,3 Apr 2022,Twenty20
