Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
SK Raina (CSK/GL),2008-2021,205,151.2,-,908,1118,25,2/0,44.72,7.38,36.3,-,-,-
YK Pathan (KKR/RR/SRH),2008-2019,174,191.1,1,1147,1415,42,3/20,33.69,7.4,27.3,-,-,-
R Bhatia (DC/KKR/RPS/RR),2008-2017,95,272.4,1,1636,2020,71,4/15,28.45,7.4,23.0,1,-,-
KP Pietersen (DC/RCB/RPS),2009-2016,36,29.0,-,174,215,7,2/31,30.71,7.41,24.8,-,-,-
S Badree (CSK/RCB/RR),2013-2017,12,43.0,1,258,319,11,4/9,29.0,7.41,23.4,1,-,-
RR Powar (Kochi/KXIP),2008-2012,27,71.0,-,426,527,13,2/11,40.53,7.42,32.7,-,-,-
MF Maharoof (DC),2008-2010,20,70.0,-,420,520,27,3/34,19.25,7.42,15.5,-,-,-
JC Archer (MI/RR),2018-2023,40,157.3,2,945,1171,48,3/15,24.39,7.43,19.6,-,-,-
Shakib Al Hasan (KKR/SRH),2011-2021,71,247.2,1,1484,1839,63,3/17,29.19,7.43,23.5,-,-,-
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,144.5,-,869,1077,36,4/29,29.91,7.43,24.1,2,-,-
Mohammad Nabi (MI/SRH),2017-2024,24,69.3,-,417,517,15,4/11,34.46,7.43,27.8,1,-,-
Gurkeerat Singh (KXIP/RCB),2012-2020,41,13.0,-,78,97,5,2/15,19.4,7.46,15.6,-,-,-
GB Hogg (KKR/RR),2012-2016,21,76.2,1,458,570,23,4/29,24.78,7.46,19.9,1,-,-
Shahid Afridi (DCH),2008-2008,10,30.0,-,180,225,9,3/28,25.0,7.5,20.0,-,-,-
B Lee (KKR/KXIP),2008-2013,38,145.5,3,875,1095,25,3/15,43.8,7.5,35.0,-,-,-
MM Patel (GL/MI/RR),2008-2017,63,225.5,5,1355,1698,74,5/21,22.94,7.51,18.3,2,1,-
CRD Fernando (MI),2008-2010,10,39.0,-,234,294,17,4/18,17.29,7.53,13.7,1,-,-
Washington Sundar (RCB/RPS/SRH),2017-2024,60,175.4,1,1054,1325,37,3/16,35.81,7.54,28.4,-,-,-
RJ Harris (DCH/KXIP),2009-2013,37,138.4,3,832,1047,45,4/34,23.26,7.55,18.4,1,-,-
WPUJC Vaas (DCH),2008-2010,13,47.0,2,282,355,18,3/21,19.72,7.55,15.6,-,-,-
DJ Willey (CSK/RCB),2018-2023,11,36.0,1,216,272,6,2/16,45.33,7.55,36.0,-,-,-
B Kumar (PWI/SRH),2011-2024,176,651.4,14,3910,4929,181,5/19,27.23,7.56,21.6,2,2,-
CV Varun (KKR/KXIP),2019-2024,71,264.4,1,1588,2002,83,5/20,24.12,7.56,19.1,1,1,-
S Nadeem (DC/SRH),2011-2021,72,235.5,2,1415,1784,48,3/16,37.16,7.56,29.4,-,-,-
SK Trivedi (RR),2008-2013,76,251.0,2,1506,1904,65,4/25,29.29,7.58,23.1,1,-,-
Z Khan (DC/MI/RCB),2008-2017,100,366.4,5,2200,2782,102,4/17,27.27,7.58,21.5,1,-,-
RA Jadeja (CSK/GL/Kochi/RR),2008-2024,240,638.1,2,3829,4864,160,5/16,30.4,7.62,23.9,3,1,-
VS Malik (KXIP/RR),2009-2014,13,34.1,-,205,261,6,2/14,43.5,7.63,34.1,-,-,-
STR Binny (MI/RCB/RR),2010-2019,95,99.0,-,594,758,22,2/14,34.45,7.65,27.0,-,-,-
M Theekshana (CSK),2022-2024,27,104.0,1,624,797,25,4/33,31.88,7.66,24.9,1,-,-
SB Styris (CSK/DCH),2008-2011,12,36.0,-,216,276,8,3/32,34.5,7.66,27.0,-,-,-
A Symonds (DCH/MI),2008-2011,39,87.5,-,527,674,20,3/21,33.7,7.67,26.3,-,-,-
IC Pandey (CSK/PWI),2013-2015,25,77.0,4,462,591,18,2/23,32.83,7.67,25.6,-,-,-
S Randiv (CSK),2011-2011,8,29.0,-,174,223,6,2/24,37.16,7.68,29.0,-,-,-
M Morkel (DC/KKR/RR),2009-2016,70,271.3,3,1629,2089,77,4/20,27.12,7.69,21.1,1,-,-
